"preusuel";"sexratio_prenom";"n"
"a";1;28
"aadam";1;24
"aadel";1;55
"aadil";1;177
"aakash";1;25
"aalia";0;26
"aaliya";0;173
"aaliyah";0;1991
"aalya";0;104
"aalyah";0;195
"aanor";0;39
"aaricia";0;35
"aaron";1;22132
"aarone";1;137
"aaronn";1;76
"aaroun";1;31
"aaya";0;44
"aayan";1;55
"aaziz";1;30
"ab";1;77
"ab-del";1;45
"ababacar";1;58
"abakar";1;25
"abas";1;41
"abass";1;97
"abasse";1;103
"abassia";0;26
"abbas";1;239
"abbes";1;296
"abbie";0;130
"abbigaelle";0;34
"abby";0;1462
"abby-gaelle";0;117
"abby-gaëlle";0;82
"abbygael";0;116
"abbygaël";0;96
"abbygaelle";0;377
"abbygaëlle";0;288
"abbygail";0;93
"abbygaïl";0;22
"abd";1;1486
"abd-allah";1;147
"abd-el";1;485
"abd-el-kader";1;45
"abd-el-rahman";1;21
"abd-rahman";1;36
"abd-samad";1;22
"abd'allah";1;43
"abdala";1;73
"abdalah";1;214
"abdalaye";1;34
"abdalha";1;29
"abdalla";1;81
"abdallah";1;5260
"abdarahim";1;21
"abdarahman";1;33
"abdarahmane";1;33
"abdarrahman";1;35
"abdassamad";1;26
"abde";1;182
"abdel";1;4448
"abdel-akim";1;83
"abdel-ali";1;103
"abdel-aziz";1;232
"abdel-djalil";1;42
"abdel-ghani";1;53
"abdel-hadi";1;38
"abdel-hafid";1;102
"abdel-hak";1;29
"abdel-hakim";1;430
"abdel-halim";1;166
"abdel-hamid";1;207
"abdel-ilah";1;84
"abdel-illah";1;72
"abdel-jalil";1;98
"abdel-kader";1;435
"abdel-karim";1;446
"abdel-krim";1;131
"abdel-latif";1;43
"abdel-madjid";1;88
"abdel-magid";1;21
"abdel-majid";1;115
"abdel-malek";1;196
"abdel-malik";1;429
"abdel-moumen";1;23
"abdel-nacer";1;35
"abdel-nasser";1;80
"abdel-nour";1;74
"abdel-rahim";1;86
"abdel-rahman";1;144
"abdel-rahmane";1;82
"abdel-rahmen";1;30
"abdel-rani";1;48
"abdel-raouf";1;43
"abdel-salem";1;32
"abdel-samad";1;80
"abdel-wahab";1;53
"abdel-waheb";1;28
"abdel-wahid";1;36
"abdela";1;73
"abdelaali";1;36
"abdeladim";1;24
"abdelafid";1;34
"abdelah";1;219
"abdelakim";1;121
"abdelali";1;461
"abdelalim";1;26
"abdelamid";1;26
"abdelatif";1;462
"abdelaziz";1;2215
"abdelazize";1;119
"abdelazziz";1;46
"abdelbaki";1;73
"abdelbaset";1;23
"abdelbasset";1;92
"abdeldjalil";1;128
"abdeldjallil";1;22
"abdelfatah";1;116
"abdelfattah";1;65
"abdelfetah";1;38
"abdelfettah";1;25
"abdelghafour";1;39
"abdelghani";1;532
"abdelha";1;38
"abdelhadi";1;363
"abdelhafed";1;25
"abdelhafid";1;761
"abdelhafide";1;30
"abdelhak";1;904
"abdelhake";1;39
"abdelhakim";1;1484
"abdelhakime";1;43
"abdelhali";1;45
"abdelhalim";1;620
"abdelhalime";1;40
"abdelhamed";1;53
"abdelhamid";1;1077
"abdelhamide";1;21
"abdelhaq";1;26
"abdelhatif";1;42
"abdelhay";1;29
"abdelhaziz";1;92
"abdelhedi";1;20
"abdelhouab";1;39
"abdelilah";1;367
"abdelillah";1;151
"abdeljabar";1;29
"abdeljalil";1;457
"abdeljallil";1;24
"abdeljawad";1;21
"abdelkader";1;9908
"abdelkamel";1;23
"abdelkarim";1;1469
"abdelkarime";1;34
"abdelkebir";1;24
"abdelkerim";1;27
"abdelkhader";1;46
"abdelkhalek";1;63
"abdelkrim";1;2402
"abdelkrime";1;81
"abdella";1;96
"abdellah";1;2611
"abdellali";1;54
"abdellatif";1;603
"abdellaziz";1;148
"abdelmadjid";1;341
"abdelmagid";1;91
"abdelmagide";1;20
"abdelmajid";1;802
"abdelmajide";1;24
"abdelmalek";1;836
"abdelmalik";1;884
"abdelmatine";1;21
"abdelmoula";1;39
"abdelmoumen";1;95
"abdelmoumene";1;40
"abdelmounaim";1;47
"abdelnacer";1;89
"abdelnasser";1;156
"abdelnor";1;76
"abdelnour";1;243
"abdeloihab";1;31
"abdelouab";1;44
"abdelouahab";1;222
"abdelouahad";1;27
"abdelouaheb";1;47
"abdelouahed";1;99
"abdelouahid";1;52
"abdelouhab";1;98
"abdelrahim";1;301
"abdelrahime";1;20
"abdelrahman";1;413
"abdelrahmane";1;366
"abdelrahmen";1;77
"abdelrahmene";1;22
"abdelrahni";1;22
"abdelraman";1;22
"abdelramane";1;38
"abdelrani";1;297
"abdelraouf";1;86
"abdelrazak";1;95
"abdelrazek";1;40
"abdelrezak";1;59
"abdelrhamane";1;23
"abdelrhani";1;42
"abdelsalam";1;37
"abdelsalem";1;68
"abdelsamad";1;135
"abdelslam";1;21
"abdelssamad";1;30
"abdeltif";1;120
"abdelwadoud";1;45
"abdelwahab";1;295
"abdelwahad";1;31
"abdelwaheb";1;73
"abdelwahed";1;54
"abdelwahid";1;112
"abdelwakil";1;54
"abdenabi";1;36
"abdenacer";1;31
"abdenasser";1;78
"abdenbi";1;130
"abdennasser";1;25
"abdennour";1;210
"abdenor";1;112
"abdenour";1;414
"abder";1;21
"abderahim";1;318
"abderahime";1;38
"abderahman";1;449
"abderahmane";1;680
"abderahmen";1;69
"abderahmene";1;34
"abderaman";1;41
"abderamane";1;57
"abderaouf";1;40
"abderazak";1;127
